season,ranker,team,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,made_playoffs
2002,9,San Antonio Spurs,82,19855,39.1,85.4,0.458,5.9,16.3,0.362,33.2,69.2,0.48000000000000004,22.4,30.2,0.742,12.2,34.5,46.6,22.1,8.4,7.2,15.8,21.1,106.5,TRUE
2002,10,Utah Jazz,82,19830,38.5,85.5,0.45,3.8,11.3,0.33299999999999996,34.7,74.2,0.468,24.8,32.6,0.763,14.9,31.5,46.4,26.8,10,7,18.1,26.4,105.6,TRUE
2002,11,Los Angeles Clippers,82,19805,40,89.7,0.445,5.5,15.4,0.356,34.5,74.3,0.464,20.1,27.3,0.739,14.6,33.3,47.8,23.1,6.9,7.3,16.3,21.8,105.5,FALSE
2002,12,Washington Wizards,82,19730,40.5,91.8,0.441,4.2,10.8,0.388,36.3,80.9,0.448,19.7,25.7,0.765,14.5,33,47.5,23.6,7.8,4.9,14.7,24.3,104.8,FALSE
2002,13,Detroit Pistons,82,19680,38.5,85.3,0.452,7.7,20.4,0.376,30.9,64.9,0.47500000000000003,20,26.5,0.756,11,32.1,43,23.9,8.8,7.7,16.2,23,104.8,TRUE
2002,14,Cleveland Cavaliers,82,19855,39.5,88.1,0.448,5.2,13.7,0.377,34.3,74.4,0.461,20.5,26.5,0.772,13,33.2,46.2,25.3,7.7,6.3,16,23.5,104.6,FALSE
2002,15,Charlotte Hornets,82,19755,39.2,89.2,0.44,4.7,13.5,0.348,34.5,75.7,0.456,21.2,28.5,0.745,14.3,33.9,48.3,23.8,8.8,6.2,15.6,23.7,104.3,TRUE
2002,16,Indiana Pacers,82,19905,38.5,86.3,0.446,5.3,15.7,0.33899999999999997,33.2,70.6,0.47000000000000003,21.8,28.3,0.772,12.2,33.7,45.9,24.7,8.6,5.7,16.4,24.6,104.1,TRUE
2002,17,New Jersey Nets,82,19830,40.1,89.9,0.446,5.3,15.7,0.33799999999999997,34.8,74.1,0.46900000000000003,18.5,25.1,0.735,13.7,33.2,46.9,26.2,9.4,6.5,15.7,22.9,104,TRUE
2002,18,Boston Celtics,82,19830,37.3,88.1,0.42400000000000004,9.1,25.5,0.359,28.2,62.6,0.45,19.6,25.6,0.764,11.7,33.6,45.3,22.5,10.4,3.8,14.6,23.2,103.4,TRUE
2002,19,Phoenix Suns,82,19830,41,91.8,0.447,4.7,14.5,0.327,36.3,77.3,0.46900000000000003,16.5,21.6,0.767,14.2,32.2,46.4,24.3,8.8,5.3,16,23.6,103.3,FALSE
2002,20,Houston Rockets,82,19980,38.6,90.3,0.42800000000000005,6.8,20.2,0.33499999999999996,31.9,70.1,0.455,19.1,25.8,0.741,14,32.8,46.8,20.2,7.3,6.1,15.7,20.1,103.1,FALSE
2002,21,Golden State Warriors,82,19780,38.5,89.7,0.42900000000000005,4.1,12.8,0.322,34.4,77,0.447,21.7,30.1,0.722,17.1,32,49.1,21.9,8.3,6.7,17.7,24.2,102.8,FALSE
2002,22,Toronto Raptors,82,19755,40,92.1,0.43400000000000005,5.3,15.2,0.349,34.7,76.9,0.451,17.4,23.5,0.739,15.2,32,47.2,24.3,9.4,6.2,16.1,24.2,102.6,TRUE
2002,23,Philadelphia 76ers,82,19730,38.4,88.1,0.43600000000000005,2.9,9.8,0.29900000000000004,35.4,78.3,0.453,22.4,28.8,0.779,14.9,34.7,49.6,22.4,9.6,5,17.2,22.5,102.1,TRUE
2002,24,Atlanta Hawks,82,19780,38.3,87.3,0.43900000000000006,5.6,15.8,0.354,32.7,71.5,0.458,19.6,25.6,0.765,12.6,32.3,44.9,21.9,8.8,4.6,16.8,22.5,101.8,FALSE
2002,25,New York Knicks,82,19805,38,88.1,0.43200000000000005,6.4,18.2,0.353,31.6,69.9,0.453,19,24.1,0.7869999999999999,11.8,33.2,45,23.2,7.5,3.9,16.1,24.3,101.5,FALSE
2002,26,Denver Nuggets,82,19805,39.1,92.1,0.42400000000000004,5.7,17.2,0.329,33.4,74.9,0.446,17.5,23.6,0.744,15,31,46,24.4,8.2,6.2,16.2,25.1,101.4,FALSE
2002,27,Miami Heat,82,19930,38.6,87.9,0.43900000000000006,4.3,12.4,0.347,34.3,75.5,0.454,17,23.5,0.724,12.4,35,47.5,22.9,7.5,6.2,16.8,25.4,98.5,FALSE
